mmsi,name,imo,callsign,ship_type,length_m,width_m,mobile_class
219031423,GOLIATH VIG,8616245,OZFN2,Tug,24.0,8.0,Class A
219031428,JACOB FREDERIKSEN,,OZUF,SAR,18.0,5.0,Class A
219031491,ASKE,,XPI2766,Pleasure,8.0,3.0,Class B
219031629,FRU LAURSEN,,XPI2894,Sailing,12.0,4.0,Class B
219031797,SKAWLINK,,OZCK2,HSC,16.0,6.0,Class A
219031988,NJORD,,XPI3235,Pleasure,12.0,3.0,Class B
219032027,BJOERG II,,XPI3274,Pleasure,10.0,3.0,Class B
219032096,KAIROS,,XPI3343,Pleasure,12.0,4.0,Class B
219032146,FREECLOUD,,XPI3392,Pleasure,13.0,4.0,Class B
219032168,ELLADA,,XPI3413,Sailing,12.0,4.0,Class B
219032258,RAFALE,,XPI3497,Sailing,10.0,4.0,Class B
219032276,TAGGER ONE,,XPI3515,Pleasure,9.0,3.0,Class B
219032497,HEIDI,,XPD3805,Pleasure,10.0,3.0,Class B
219032534,MALOU,,XPI3755,Pleasure,,,Class B
219032621,LEV,,XPI3836,Pleasure,10.0,4.0,Class B
219032670,FRB-23,,XPI3879,SAR,12.0,4.0,Class A
219032932,SKAWLINK V,1017335,0ZAP2,Tug,25.0,8.0,Class A
219033098,MATOMA,,XPI4267,Pleasure,9.0,4.0,Class B
219033228,CAPITO,,XPI4389,Pleasure,10.0,3.0,Class B
219033327,ANNE,,XPI4485,Pleasure,14.0,4.0,Class B
219033528,TAMBO,,XPD2673,Pleasure,8.0,3.0,Class B
219033698,KANJA,,XPA7409,Pleasure,10.0,3.0,Class B
219033835,LEONORA,,XPI4968,Pleasure,11.0,4.0,Class B
219033958,SOSIANNA,,XPI5080,Pleasure,12.0,4.0,Class B
219034043,DORTE,,XPI5158,Pleasure,12.0,4.0,Class B
219034069,OUQF,,OUQF,Pleasure,24.0,6.0,Class B
219034252,MARLEEN,,XP15350,Sailing,15.0,5.0,Class B
219034254,CAMINO,,XPI5352,Sailing,9.0,3.0,Class B
219034309,LN COMMANDER,9905849,OUVB2,Tug,24.0,8.0,Class A
219034326,RAGNHILD,,XPI5419,Sailing,12.0,4.0,Class B
219034389,SWORDFISH -PILOTBOAT,,OU2047,Pilot,15.0,4.0,Class A
219034404,OZZY,,XPI5490,Sailing,12.0,4.0,Class B
219034567,LINE,,XPI5646,Sailing,14.0,5.0,Class B
219034840,CAPRICORN,,XPI5916,Pleasure,14.0,4.0,Class B
219034966,MERLE,,XP16031,Pleasure,12.0,4.0,Class B
219035044,TIAMAT,,XPI6102,Sailing,11.0,4.0,Class B
219035065,VILLADS,,XP16121,Pleasure,9.0,2.0,Class B
219035154,PRECIUS,,XPI6199,Sailing,9.0,4.0,Class B
219035413,AQUAVERA,,XPI6447,Pleasure,12.0,4.0,Class B
219035415,SIGFRED,,XPI6449,Pleasure,9.0,4.0,Class B
219035764,GODING,,XPI6779,Pleasure,11.0,3.0,Class B
219035800,DREAMTIME,,XP16812,Pleasure,12.0,3.0,Class B
219036058,FRU AAEN,,XPI7059,Pleasure,9.0,3.0,Class B
219036341,NOLDUS,,XPI7334,Sailing,11.0,4.0,Class B
219061000,SEAPEAK MERIDIAN,9369904,OWHC2,Tanker,286.0,43.0,Class A
219111111,M.A.R.S. PROJEKT 1,,,Cargo,295.0,60.0,Class B
219111114,M.A.R.S. PROJEKT 2,,,Pleasure,275.0,50.0,Class B
